profile_id,profile_name,Name,PetID,Age,age_group,gender_label,breed1_label,breed2_label,clip_breed_1,clip_breed_1_score,clip_breed_2,clip_breed_2_score,maturity_size_label,breed_score,breed_explanation,structured_score,bert_similarity,clip_image_text_similarity,final_score,clip_num_images_used_for_similarity
family_children_apartment,Famiglia con bambini in appartamento,Bobby,01c6d3224,8,young,male,Golden Retriever,,Golden Retriever,0.0057993601076304,Retriever,0.0057907137088477,small,1.0,razza principale del dataset corrisponde: +1.0,1.0,0.88481355,0.6404495537281036,0.9050526291131973,5
family_children_apartment,Famiglia con bambini in appartamento,Pacino,b3a6f353d,12,young,male,Labrador Retriever,Mixed Breed,Black Labrador Retriever,0.0057448502629995,Labrador Retriever,0.0056981220841407,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.9111484,0.629522442817688,0.8781341713666916,7
family_children_apartment,Famiglia con bambini in appartamento,2 Black Dude,ab9dd85b2,8,young,mixed,Labrador Retriever,Mixed Breed,Black Labrador Retriever,0.0056809643283486,Lowchen,0.0056691919453442,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.90189856,0.6316021829843521,0.8767001551389694,7
family_children_apartment,Famiglia con bambini in appartamento,"Mummy Moon, Luna And Ariel",295dac1ce,15,young,female,Golden Retriever,Labrador Retriever,Yellow Labrador Retriever,0.0057966532185673,Labrador Retriever,0.0057467352598905,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.90259254,0.6298784762620926,0.876494203209877,3
family_children_apartment,Famiglia con bambini in appartamento,FLUFFY,e246ecfdc,22,young,female,Golden Retriever,,White German Shepherd,0.0057318243198096,Yellow Labrador Retriever,0.0057033314369618,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.8990239,0.6243627965450287,0.8746773463487625,2
family_children_apartment,Famiglia con bambini in appartamento,Whiskey,902114441,12,young,male,Labrador Retriever,Mixed Breed,Basenji,0.0057906303554773,Jack Russell Terrier (Parson Russell Terrier),0.0057093920186161,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.89770436,0.6250221729278564,0.8745453071594238,2
family_children_apartment,Famiglia con bambini in appartamento,Nil,2d88536fc,12,young,male,Labrador Retriever,Mixed Breed,Black Mouth Cur,0.0057313982397317,Yellow Labrador Retriever,0.0057198656722903,medium,1.0,razza principale del dataset corrisponde: +1.0,0.95,0.86416435,0.6255785971879959,0.8679485958814621,1
family_children_apartment,Famiglia con bambini in appartamento,Snow,9430d84c5,12,young,female,Labrador Retriever,Mixed Breed,Yellow Labrador Retriever,0.0057104378938674,Akbash,0.0056595588102936,small,1.0,razza principale del dataset corrisponde: +1.0,0.9,0.91373557,0.6361722648143768,0.8499815636873246,4
family_children_apartment,Famiglia con bambini in appartamento,Java,5c28a8cec,8,young,male,Mixed Breed,Labrador Retriever,Lowchen,0.0056653269566595,Kai Dog,0.005614242516458,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.9211561,0.6453140676021576,0.8472940351963043,3
family_children_apartment,Famiglia con bambini in appartamento,Ben,eec3cbd6e,12,young,male,Mixed Breed,Labrador Retriever,Chesapeake Bay Retriever,0.0057940240949392,Akbash,0.0056749158538877,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.91475534,0.6302302926778793,0.8429971363544464,2
family_children_apartment,Famiglia con bambini in appartamento,Baby / Bubbles,1e62e6022,2,puppy,male,Labrador Retriever,Jack Russell Terrier,Akbash,0.0056413798592984,Beagle,0.0056366305798292,small,1.0,razza principale del dataset corrisponde: +1.0,0.9,0.89452565,0.6198572665452957,0.8428765827417374,5
family_children_apartment,Famiglia con bambini in appartamento,"Sweeti, Kimberly, Julian, Gordon, Ramsey",db044e38b,11,young,mixed,Mixed Breed,Labrador Retriever,Kai Dog,0.0056377272121608,Akbash,0.0056091924197971,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.89339983,0.6504503488540649,0.8427700426578522,7
family_children_apartment,Famiglia con bambini in appartamento,Snow White,245bfe92f,12,young,female,Mixed Breed,Labrador Retriever,Anatolian Shepherd Dog,0.0057787126861512,Canaan Dog,0.0057583334855735,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.912575,0.6265229433774948,0.8418195989131928,2
family_children_apartment,Famiglia con bambini in appartamento,Reebok And Nike,36cc00cf3,12,young,male,Doberman Pinscher,Labrador Retriever,Australian Kelpie,0.0057334802113473,Kai Dog,0.0057191723026335,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.89890474,0.6379390209913254,0.8413687493801117,2
family_children_apartment,Famiglia con bambini in appartamento,Ohno é¿ä¸,8693c4e7f,12,young,female,Mixed Breed,Labrador Retriever,Black Mouth Cur,0.0057488209567964,Yellow Labrador Retriever,0.0056573282927274,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.8982279,0.6317024677991867,0.8399860765933991,2
family_children_apartment,Famiglia con bambini in appartamento,Girl,6dc2f0739,12,young,female,Mixed Breed,Labrador Retriever,Yellow Labrador Retriever,0.0057683032937347,Dogo Argentino,0.0057126390747725,medium,0.8,razza secondaria del dataset corrisponde: +0.8,0.89,0.88434076,0.6297703683376312,0.8368222292661667,4
family_children_apartment,Famiglia con bambini in appartamento,Bailey,4e9f82a98,5,puppy,female,Labrador Retriever,,Black Labrador Retriever,0.0057220426388084,Labrador Retriever,0.0057060136459767,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9346824,0.6399027109146118,0.8249170249700546,2
family_children_apartment,Famiglia con bambini in appartamento,Star@Thursday,5b22f97b3,2,puppy,male,Labrador Retriever,Terrier,Labrador Retriever,0.0056584160774946,Black Labrador Retriever,0.0056270179338753,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9326172,0.6368440240621567,0.8238922423124313,10
family_children_apartment,Famiglia con bambini in appartamento,Diego,1667eb8a4,1,puppy,male,Labrador Retriever,Mixed Breed,Black Labrador Retriever,0.0057760970667004,Labrador Retriever,0.0057537062093615,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9403133,0.6287293434143066,0.8238085216283798,2
family_children_apartment,Famiglia con bambini in appartamento,Bernie,fee5e43b2,9,young,female,Labrador Retriever,,Black Labrador Retriever,0.0058296755887568,Flat-coated Retriever,0.0057986862957477,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.92974126,0.6362967491149902,0.8232076025009155,3
family_children_apartment,Famiglia con bambini in appartamento,Diesel,37ae0cd69,12,young,male,Golden Retriever,Poodle,Bichon Frise,0.0058552147820591,Maltese,0.0057904268614947,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9193665,0.6444294303655624,0.8227591818571091,2
family_children_apartment,Famiglia con bambini in appartamento,Puppy,37bf6da18,6,puppy,female,Golden Retriever,Rottweiler,Black Labrador Retriever,0.0058073364198207,Labrador Retriever,0.0057795508764684,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9304441,0.6333105713129044,0.8227509444952011,1
family_children_apartment,Famiglia con bambini in appartamento,Jacq,476dc0901,4,puppy,female,Labrador Retriever,,Lowchen,0.005608748178929,Australian Cattle Dog/Blue Heeler,0.0056079998612403,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.92747784,0.6355225741863251,0.8226000851392746,2
family_children_apartment,Famiglia con bambini in appartamento,Yogi Boy,ccc88931c,4,puppy,male,Labrador Retriever,Mixed Breed,Black Labrador Retriever,0.0057911202311515,Labrador Retriever,0.0057512684725224,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9191233,0.6408534049987793,0.8219953393936157,11
family_children_apartment,Famiglia con bambini in appartamento,Blondie,e3a29829f,5,puppy,female,Labrador Retriever,Mixed Breed,Yellow Labrador Retriever,0.0057249050587415,Canaan Dog,0.0057010049931705,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.92077196,0.6362690031528473,0.8214081919193268,2
family_children_apartment,Famiglia con bambini in appartamento,â¥ Borhan Jr. â¥,19f0ef706,4,puppy,male,Labrador Retriever,Mixed Breed,Black Mouth Cur,0.0057644550688564,Yellow Labrador Retriever,0.005708806682378,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9138079,0.642141580581665,0.8211899107694626,7
family_children_apartment,Famiglia con bambini in appartamento,Carrie,2630db5dc,9,young,female,Golden Retriever,Shepherd,Belgian Shepherd Dog Sheepdog,0.0056996289640665,Belgian Shepherd Malinois,0.0056954906322062,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9218271,0.63185915350914,0.8207372522354126,1
family_children_apartment,Famiglia con bambini in appartamento,COUGAR,eddd81378,14,young,male,Labrador Retriever,Mixed Breed,Yellow Labrador Retriever,0.0056758453138172,White German Shepherd,0.0056146145798265,medium,1.0,razza principale del dataset corrisponde: +1.0,0.85,0.9293635,0.6211601719260216,0.820104738175869,4
